,created_at,id,text,text_nsw
23,2021-11-26 02:16:29+00:00,1464055427143020551,@danielberman2 the equities are different in children because covid is so mild in them that the benefits are very s… https://t.co/mvxsc42jsm,@danielberman2 equities different children covid mild benefits … https://.co/mvxsc42jsm
24,2021-11-26 02:16:32+00:00,1464055438429888513,@pahippiechick @cpoppino @molsjames nothing can prevent flu infection nor covid infections. vaccines if that's what… https://t.co/hi3ts9aoil,@pahippiechick @cpoppino @molsjames nothing prevent flu infection covid infections. vaccines ' … https://.co/hi3ts9aoil
25,2021-11-26 02:16:32+00:00,1464055439474106368,"@jeremyvineon5 no, this would be reckless and pointless. no healthy child needs a covid vaccine and it will not sto… https://t.co/wszrif3v7r","@jeremyvineon5 , would reckless pointless. healthy child needs covid vaccine sto… https://.co/wszrif3v7r"
26,2021-11-26 02:16:34+00:00,1464055448160505856,@melmel_luvsbts @bts_twt me too!!🤞🏻if they don’t move to this next phase of living with covid i’m rioting haha,@melmel_luvsbts @bts_twt !!🤞🏻 ’ move next phase living covid ’ rioting haha
27,2021-11-26 02:16:35+00:00,1464055451620892673,"what a shock, maybe pfizer could wait till the year 3000 before letting us know what is in the vaccine"," shock, maybe pfizer could wait till year 3000 letting us know vaccine"
28,2021-11-26 02:16:37+00:00,1464055459720036353,@suzy_1776 how can the victims of covid simultaneously be the killers of the victims if the vaccines work.,@suzy_1776 victims covid simultaneously killers victims vaccines work.
29,2021-11-26 02:16:41+00:00,1464055478543998979,@tnicholsmd answer this question. what is the definition of a covid death and how many people die everyday in ameri… https://t.co/df727bxqei,@tnicholsmd answer question. definition covid death many people die everyday ameri… https://.co/df727bxqei
30,2021-11-26 02:16:42+00:00,1464055483833077762,@aginnt @chrisma82614738 you can't get reinfected after you've already had covid. you have immunities higher than t… https://t.co/mxi8p1bxms,@aginnt @chrisma82614738 ' get reinfected ' already covid. immunities higher … https://.co/mxi8p1bxms
31,2021-11-26 02:16:45+00:00,1464055492964085760,@rajput_ssr2 @learningsoul_ this acknowledgement that it is covid of the vaxxed is also coming from the fact that t… https://t.co/rshnhsae9o,@rajput_ssr2 @learningsoul_ acknowledgement covid vaxxed also coming fact … https://.co/rshnhsae9o
32,2021-11-26 02:16:47+00:00,1464055502258671622,@erniedingo1 hopefully covid19 will wipe out all that white anti vaccination trash,@erniedingo1 hopefully covid19 wipe white anti vaccination trash
0,2021-11-26 16:58:43+00:00,1464277449538162688,@inevcalamity @getvaxanswers chances for getting these with covid are much higher and long term or even permanent.,@inevcalamity @getvaxanswers chances getting covid much higher long term even permanent.
1,2021-11-26 16:58:43+00:00,1464277450079326210,i am 1 day closer to going insane isolation is torture and covid is horrible 🥺, 1 day closer going insane isolation torture covid horrible 🥺
2,2021-11-26 16:58:43+00:00,1464277450314031105,"@acosta hey america, vaccination sites are open today. squeeze a dose in while shopping. happy holidays!","@acosta hey america, vaccination sites open today. squeeze dose shopping. happy holidays!"
3,2021-11-26 16:58:44+00:00,1464277453644304385,"same here. in the article, the 2 persons vaccinated with pfizer were infected but didn’t have symptoms. hope that h… https://t.co/iwnvjyrkct"," . article, 2 persons vaccinated pfizer infected ’ symptoms. hope h… https://.co/iwnvjyrkct"
4,2021-11-26 16:58:47+00:00,1464277466420232199,@tornadosong i have loved them since high school 😍 thanks for letting me know. hopefully covid doesn’t get in the way of their world tour!,@tornadosong loved since high school 😍 thanks letting know. hopefully covid ’ get way world tour!
5,2021-11-26 16:58:48+00:00,1464277470841081883,@iciclelolly @ollysmithtravel 1st..there have been no major us health systems that have been overwhelmed by covid.… https://t.co/z4giszbbzy,@iciclelolly @ollysmithtravel 1st.. major us health systems overwhelmed covid.… https://.co/z4giszbbzy
6,2021-11-26 16:58:49+00:00,1464277473135235073,@zoom_news_india is it really a news? who told you that who got vaccinated  will not get #covid  ?,@zoom_news_india really news? told got vaccinated get #covid ?
7,2021-11-26 16:58:49+00:00,1464277475693719559,@westboiseroyz studies showed that requiring vaccination for air travel would have been the single-most effective w… https://t.co/vnaqvfr8uy,@westboiseroyz studies showed requiring vaccination air travel would single- effective w… https://.co/vnaqvfr8uy
8,2021-11-26 16:58:50+00:00,1464277478394904576,"@scottadamssays isn't ""solved their covid problem"" an unreasonable (and functionally useless) metric?

what miracle… https://t.co/knr2xglyhv","@scottadamssays ' ""solved covid problem"" unreasonable ( functionally useless) metric? miracle… https://.co/knr2xglyhv"
